workload,region_size,seed,phase_index,l2hr,util,scr,l2_hits,l2_misses,region_fetched_bytes,region_accessed_bytes,active_regions,sharer_consistent_regions
simpleconvolution,64,42,2,0.6286342347119124,0.4996658464716425,1.0,56909,33619,4213632,2105408,65838,65838
simpleconvolution,64,43,0,,,,0,0,0,0,0,0
simpleconvolution,64,43,1,,,,0,0,0,0,0,0
simpleconvolution,64,43,2,0.6286342347119124,0.4996658464716425,1.0,56909,33619,4213632,2105408,65838,65838
simpleconvolution,64,44,0,,,,0,0,0,0,0,0
simpleconvolution,64,44,1,,,,0,0,0,0,0,0
simpleconvolution,64,44,2,0.6286342347119124,0.4996658464716425,1.0,56909,33619,4213632,2105408,65838,65838
stencil2d,1024,42,0,,,,0,0,0,0,0,0
stencil2d,1024,42,1,0.22847666085609142,0.48394118363370675,1.0,9437,31867,4204544,2034752,4106,4106
stencil2d,1024,42,2,,,,0,0,0,0,0,0
stencil2d,1024,43,0,,,,0,0,0,0,0,0
stencil2d,1024,43,1,0.22847666085609142,0.48394118363370675,1.0,9437,31867,4204544,2034752,4106,4106
stencil2d,1024,43,2,,,,0,0,0,0,0,0
stencil2d,1024,44,0,,,,0,0,0,0,0,0
stencil2d,1024,44,1,0.22847666085609142,0.48394118363370675,1.0,9437,31867,4204544,2034752,4106,4106
stencil2d,1024,44,2,,,,0,0,0,0,0,0
stencil2d,16384,42,0,,,,0,0,0,0,0,0
stencil2d,16384,42,1,0.22847666085609142,0.47765925480769234,1.0,9437,31867,4259840,2034752,260,260
stencil2d,16384,42,2,,,,0,0,0,0,0,0
stencil2d,16384,43,0,,,,0,0,0,0,0,0
stencil2d,16384,43,1,0.22847666085609142,0.47765925480769234,1.0,9437,31867,4259840,2034752,260,260
stencil2d,16384,43,2,,,,0,0,0,0,0,0
stencil2d,16384,44,0,,,,0,0,0,0,0,0
stencil2d,16384,44,1,0.22847666085609142,0.47765925480769234,1.0,9437,31867,4259840,2034752,260,260
stencil2d,16384,44,2,,,,0,0,0,0,0,0
stencil2d,256,42,0,,,,0,0,0,0,0,0
stencil2d,256,42,1,0.22847666085609142,0.484295028028272,1.0,9437,31867,4201472,2034752,16412,16412
stencil2d,256,42,2,,,,0,0,0,0,0,0
stencil2d,256,43,0,,,,0,0,0,0,0,0
stencil2d,256,43,1,0.22847666085609142,0.484295028028272,1.0,9437,31867,4201472,2034752,16412,16412
stencil2d,256,43,2,,,,0,0,0,0,0,0
stencil2d,256,44,0,,,,0,0,0,0,0,0
stencil2d,256,44,1,0.22847666085609142,0.484295028028272,1.0,9437,31867,4201472,2034752,16412,16412
stencil2d,256,44,2,,,,0,0,0,0,0,0
stencil2d,4096,42,0,,,,0,0,0,0,0,0
stencil2d,4096,42,1,0.22847666085609142,0.4822967233009709,1.0,9437,31867,4218880,2034752,1030,1030
stencil2d,4096,42,2,,,,0,0,0,0,0,0
stencil2d,4096,43,0,,,,0,0,0,0,0,0
stencil2d,4096,43,1,0.22847666085609142,0.4822967233009709,1.0,9437,31867,4218880,2034752,1030,1030
stencil2d,4096,43,2,,,,0,0,0,0,0,0
stencil2d,4096,44,0,,,,0,0,0,0,0,0
stencil2d,4096,44,1,0.22847666085609142,0.4822967233009709,1.0,9437,31867,4218880,2034752,1030,1030
stencil2d,4096,44,2,,,,0,0,0,0,0,0
stencil2d,64,42,0,,,,0,0,0,0,0,0
stencil2d,64,42,1,0.22847666085609142,0.4994737090160715,1.0,9437,31867,4073792,2034752,63653,63653
stencil2d,64,42,2,,,,0,0,0,0,0,0
stencil2d,64,43,0,,,,0,0,0,0,0,0
stencil2d,64,43,1,0.22847666085609142,0.4994737090160715,1.0,9437,31867,4073792,2034752,63653,63653
stencil2d,64,43,2,,,,0,0,0,0,0,0
stencil2d,64,44,0,,,,0,0,0,0,0,0
stencil2d,64,44,1,0.22847666085609142,0.4994737090160715,1.0,9437,31867,4073792,2034752,63653,63653
stencil2d,64,44,2,,,,0,0,0,0,0,0
