workload,region_size,phase_index,active_regions_mean,util_mean,m1a_mean,m2a_mean,m3a_mean,m4a_mean,m5a_mean
simpleconvolution,1024,2,4130.0,0.4978359564164649,0.06272973055074577,49213.261822399065,0.00569073755670806,1.0,1.0004842615012106
simpleconvolution,4096,0,0.0,,,0.0,0.0,,
simpleconvolution,4096,1,0.0,,,0.0,0.0,0.0,
simpleconvolution,4096,2,1046.0,0.4914107313575526,0.01588748139372399,49213.261822399065,0.00569073755670806,1.0,3.950286806883365
simpleconvolution,16384,0,0.0,,,0.0,0.0,,
simpleconvolution,16384,1,0.0,,,0.0,0.0,0.0,
simpleconvolution,16384,2,264.0,0.4867572206439394,0.004009842340289802,49213.261822399065,0.00569073755670806,1.0,15.65151515151515
stencil2d,64,0,0.0,,,0.0,0.0,0.0,
stencil2d,64,1,63653.0,0.4994737090160715,1.0,69900.94532121868,0.008229203665635936,0.0,0.0038961242989332787
stencil2d,64,2,0.0,,,0.0,0.0,,
stencil2d,256,0,0.0,,,0.0,0.0,0.0,
stencil2d,256,1,16412.0,0.484295028028272,0.25783545158908455,69900.94532121868,0.008229203665635936,0.0,0.015110894467462832
stencil2d,256,2,0.0,,,0.0,0.0,,
stencil2d,1024,0,0.0,,,0.0,0.0,0.0,
stencil2d,1024,1,4106.0,0.4839411836337068,0.06450599343314534,69900.94532121868,0.008229203665635936,0.0,0.06039941548952752
stencil2d,1024,2,0.0,,,0.0,0.0,,
stencil2d,4096,0,0.0,,,0.0,0.0,0.0,
stencil2d,4096,1,1030.0,0.4822967233009709,0.016181483983472893,69900.94532121868,0.008229203665635936,0.0,0.2407766990291262
stencil2d,4096,2,0.0,,,0.0,0.0,,
