workload,region_size,seed,phase_index,active_regions,retired_wavefronts,region_fetched_bytes,region_accessed_bytes,l2hr,util,m1a,m2a,m3a,m4a,m5a
matrixmultiplication,256,43,2,3268,64,836608,417792,0.43723982565257846,0.49938800489596086,0.25022970903522207,67092.61362624055,0.03343393866593779,0.0,0.019583843329253364
matrixmultiplication,256,43,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,256,44,0,40,0,10240,1280,0.4782608695652174,0.125,0.43478260869565216,88558.31499752014,0.09054045378778564,0.024271844660194174,0.0
matrixmultiplication,256,44,1,1648,0,421888,207872,0.4185728558658043,0.49271844660194175,0.2515262515262515,71489.94231918221,0.059190996325660904,0.5042839657282742,0.0
matrixmultiplication,256,44,2,3268,64,836608,417792,0.43723982565257846,0.49938800489596086,0.25022970903522207,67092.61362624055,0.03343393866593779,0.0,0.019583843329253364
matrixmultiplication,256,44,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,4096,42,0,28,0,114688,1280,0.4782608695652174,0.011160714285714286,0.30434782608695654,88558.31499752014,0.09054045378778564,0.2545454545454545,0.0
matrixmultiplication,4096,42,1,110,0,450560,207872,0.4185728558658043,0.46136363636363636,0.016788766788766788,71489.94231918221,0.059190996325660904,0.5092592592592593,0.0
matrixmultiplication,4096,42,2,216,64,884736,417792,0.43723982565257846,0.4722222222222222,0.01653905053598775,67092.61362624055,0.03343393866593779,0.0,0.2962962962962963
matrixmultiplication,4096,42,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,4096,43,0,28,0,114688,1280,0.4782608695652174,0.011160714285714286,0.30434782608695654,88558.31499752014,0.09054045378778564,0.2545454545454545,0.0
matrixmultiplication,4096,43,1,110,0,450560,207872,0.4185728558658043,0.46136363636363636,0.016788766788766788,71489.94231918221,0.059190996325660904,0.5092592592592593,0.0
matrixmultiplication,4096,43,2,216,64,884736,417792,0.43723982565257846,0.4722222222222222,0.01653905053598775,67092.61362624055,0.03343393866593779,0.0,0.2962962962962963
matrixmultiplication,4096,43,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,4096,44,0,28,0,114688,1280,0.4782608695652174,0.011160714285714286,0.30434782608695654,88558.31499752014,0.09054045378778564,0.2545454545454545,0.0
matrixmultiplication,4096,44,1,110,0,450560,207872,0.4185728558658043,0.46136363636363636,0.016788766788766788,71489.94231918221,0.059190996325660904,0.5092592592592593,0.0
matrixmultiplication,4096,44,2,216,64,884736,417792,0.43723982565257846,0.4722222222222222,0.01653905053598775,67092.61362624055,0.03343393866593779,0.0,0.2962962962962963
matrixmultiplication,4096,44,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,64,42,0,92,0,5888,1280,0.4782608695652174,0.21739130434782608,1.0,88558.31499752014,0.09054045378778564,0.014041514041514042,0.0
matrixmultiplication,64,42,1,6552,0,419328,207872,0.4185728558658043,0.49572649572649574,1.0,71489.94231918221,0.059190996325660904,0.5016845329249617,0.0
matrixmultiplication,64,42,2,13060,64,835840,417792,0.43723982565257846,0.4998468606431853,1.0,67092.61362624055,0.03343393866593779,0.0,0.004900459418070444
matrixmultiplication,64,42,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,64,43,0,92,0,5888,1280,0.4782608695652174,0.21739130434782608,1.0,88558.31499752014,0.09054045378778564,0.014041514041514042,0.0
matrixmultiplication,64,43,1,6552,0,419328,207872,0.4185728558658043,0.49572649572649574,1.0,71489.94231918221,0.059190996325660904,0.5016845329249617,0.0
matrixmultiplication,64,43,2,13060,64,835840,417792,0.43723982565257846,0.4998468606431853,1.0,67092.61362624055,0.03343393866593779,0.0,0.004900459418070444
matrixmultiplication,64,43,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,64,44,0,92,0,5888,1280,0.4782608695652174,0.21739130434782608,1.0,88558.31499752014,0.09054045378778564,0.014041514041514042,0.0
matrixmultiplication,64,44,1,6552,0,419328,207872,0.4185728558658043,0.49572649572649574,1.0,71489.94231918221,0.059190996325660904,0.5016845329249617,0.0
