sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.010474821,5,6,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.010474821,5,6,read_only,256,9288,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.999892,0.000108,0.000000,0.000000,0.999892,0.000108,1.000000
0.010474821,5,6,union,256,9288,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.999892,0.000108,0.000000,0.000000,0.999892,0.000108,1.000000
0.010474821,5,6,snapshot,256,4387,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999772,0.000228,0.000000,0.000000,0.999772,0.000228,1.000000
0.010474821,5,6,read_only,1024,2431,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.999589,0.000411,0.000000,0.000000,0.999589,0.000411,1.000000
0.010474821,5,6,union,1024,2431,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.999589,0.000411,0.000000,0.000000,0.999589,0.000411,1.000000
0.010474821,5,6,snapshot,1024,1380,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999275,0.000725,0.000000,0.000000,0.999275,0.000725,1.000000
0.010474821,5,6,read_only,4096,626,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.998403,0.001597,0.000000,0.000000,0.998403,0.001597,1.000000
0.010474821,5,6,union,4096,626,1.000000,1.000000,1.000000,{"1":18330,"2":1},0.998403,0.001597,0.000000,0.000000,0.998403,0.001597,1.000000
0.010474821,5,6,snapshot,4096,491,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.997963,0.002037,0.000000,0.000000,0.997963,0.002037,1.000000
0.010474821,5,6,read_only,16384,160,0.962500,0.987203,0.962500,{"1":18330,"2":1},0.956250,0.043750,0.000000,0.000000,0.956250,0.006250,0.142857
0.010474821,5,6,union,16384,160,0.962500,0.987203,0.962500,{"1":18330,"2":1},0.956250,0.043750,0.000000,0.000000,0.956250,0.006250,0.142857
0.010474821,5,6,snapshot,16384,157,0.968153,0.991306,0.968153,{"1":8191,"2":1},0.961783,0.038217,0.000000,0.000000,0.961783,0.006369,0.166667
